2026-02-27 12:01:07 [info]: Server started on http://localhost:5173
2026-02-27 12:03:17 [info]: Server started on http://localhost:5173
2026-02-27 12:32:23 [info]: Server started on http://localhost:5000
2026-02-27 12:32:42 [info]: Server started on http://localhost:5000
2026-02-27 12:33:01 [info]: Server started on http://localhost:5000
2026-02-27 12:34:23 [info]: Server started on http://localhost:5050
2026-03-10 11:24:36 [info]: Server started on http://localhost:5050
2026-03-10 11:24:37 [info]: Server started on http://localhost:5050
2026-03-10 11:24:38 [info]: Server started on http://localhost:5050
2026-03-10 11:24:39 [info]: Server started on http://localhost:5050
2026-03-10 11:24:40 [info]: Server started on http://localhost:5050
2026-03-10 11:24:41 [info]: Server started on http://localhost:5050
2026-03-10 11:24:41 [info]: Server started on http://localhost:5050
2026-03-10 11:24:42 [info]: Server started on http://localhost:5050
2026-03-10 11:24:43 [info]: Server started on http://localhost:5050
2026-03-10 11:24:44 [info]: Server started on http://localhost:5050
2026-03-10 11:24:45 [info]: Server started on http://localhost:5050
2026-03-10 11:24:46 [info]: Server started on http://localhost:5050
2026-03-10 11:24:47 [info]: Server started on http://localhost:5050
2026-03-10 11:24:48 [info]: Server started on http://localhost:5050
2026-03-10 11:24:49 [info]: Server started on http://localhost:5050
2026-03-10 11:24:50 [info]: Server started on http://localhost:5050
2026-03-10 11:24:51 [info]: Server started on http://localhost:5050
2026-03-10 11:24:51 [info]: Server started on http://localhost:5050
2026-03-10 11:24:52 [info]: Server started on http://localhost:5050
2026-03-10 11:24:53 [info]: Server started on http://localhost:5050
2026-03-10 11:24:54 [info]: Server started on http://localhost:5050
2026-03-10 11:24:55 [info]: Server started on http://localhost:5050
2026-03-10 11:24:56 [info]: Server started on http://localhost:5050
2026-03-10 11:24:57 [info]: Server started on http://localhost:5050
2026-03-10 11:24:58 [info]: Server started on http://localhost:5050
2026-03-10 11:24:59 [info]: Server started on http://localhost:5050
2026-03-10 11:25:00 [info]: Server started on http://localhost:5050
2026-03-10 11:25:01 [info]: Server started on http://localhost:5050
2026-03-10 11:25:01 [info]: Server started on http://localhost:5050
2026-03-10 11:25:02 [info]: Server started on http://localhost:5050
